Bandeja,Date,Temperature
Bandeja 1,2015-06-05 12:09:00,23.88086222
Bandeja 1,2015-06-05 12:24:00,24.24741558
Bandeja 1,2015-06-05 12:39:00,24.38447268
Bandeja 1,2015-06-05 12:54:00,25.69922805
Bandeja 1,2015-06-05 13:09:00,26.46257686
Bandeja 1,2015-06-05 13:24:00,27.44412992
Bandeja 1,2015-06-05 13:39:00,30.85041985
Bandeja 1,2015-06-05 13:54:00,33.28975934
Bandeja 1,2015-06-05 14:09:00,34.86080198
Bandeja 1,2015-06-05 14:24:00,34.72531596
Bandeja 1,2015-06-05 14:39:00,36.68599441
Bandeja 1,2015-06-05 14:54:00,36.22613121
Bandeja 1,2015-06-05 15:09:00,38.69624692
Bandeja 1,2015-06-05 15:24:00,39.70039284
Bandeja 1,2015-06-05 15:39:00,36.87068018
Bandeja 1,2015-06-05 15:54:00,36.73212518
Bandeja 1,2015-06-05 16:09:00,39.79688469
Bandeja 1,2015-06-05 16:24:00,39.893532
Bandeja 1,2015-06-05 16:39:00,40.28170507
Bandeja 1,2015-06-05 16:54:00,37.56727195
Bandeja 1,2015-06-05 17:09:00,40.08729884
Bandeja 1,2015-06-05 17:24:00,39.31595086
Bandeja 1,2015-06-05 17:39:00,40.3304079
Bandeja 1,2015-06-05 17:54:00,39.2202144
Bandeja 1,2015-06-05 18:09:00,39.84518882
Bandeja 1,2015-06-05 18:24:00,39.99033623
Bandeja 1,2015-06-05 18:39:00,41.46222404
Bandeja 1,2015-06-05 18:54:00,39.41183547
Bandeja 1,2015-06-05 19:09:00,37.66065218
Bandeja 1,2015-06-05 19:24:00,37.61394683
Bandeja 1,2015-06-05 19:39:00,39.2680642
Bandeja 1,2015-06-05 19:54:00,40.08729884
Bandeja 1,2015-06-05 20:09:00,39.84518882
Bandeja 1,2015-06-05 20:24:00,30.36463804
Bandeja 1,2015-06-05 20:39:00,32.0005464
Bandeja 1,2015-06-05 20:54:00,31.73478046
Bandeja 1,2015-06-05 21:09:00,31.29235543
Bandeja 1,2015-06-05 21:24:00,29.65820932
Bandeja 1,2015-06-05 21:39:00,29.65820932
Bandeja 1,2015-06-05 21:54:00,29.65820932
Bandeja 1,2015-06-05 22:09:00,29.0839192
Bandeja 1,2015-06-05 22:24:00,28.55317875
Bandeja 1,2015-06-05 22:39:00,27.97715528
Bandeja 1,2015-06-05 22:54:00,27.35514695
Bandeja 1,2015-06-05 23:09:00,26.3282091
Bandeja 1,2015-06-05 23:24:00,25.69922805
Bandeja 1,2015-06-05 23:39:00,25.42860688
Bandeja 1,2015-06-05 23:54:00,25.78928821
Bandeja 1,2015-06-06 00:09:00,25.83429157
Bandeja 1,2015-06-06 00:24:00,25.92424577
Bandeja 1,2015-06-06 00:39:00,26.05904848
Bandeja 1,2015-06-06 00:54:00,26.01413114
Bandeja 1,2015-06-06 01:09:00,25.69922805
Bandeja 1,2015-06-06 01:24:00,25.20256252
Bandeja 1,2015-06-06 01:39:00,24.56688854
Bandeja 1,2015-06-06 01:54:00,23.88086222
Bandeja 1,2015-06-06 02:09:00,23.51268174
Bandeja 1,2015-06-06 02:24:00,23.37417548
Bandeja 1,2015-06-06 02:39:00,23.32795211
Bandeja 1,2015-06-06 02:54:00,22.95715561
Bandeja 1,2015-06-06 03:09:00,22.63118535
Bandeja 1,2015-06-06 03:24:00,23.00360502
Bandeja 1,2015-06-06 03:39:00,22.91067712
Bandeja 1,2015-06-06 03:54:00,23.37417548
Bandeja 1,2015-06-06 04:09:00,23.42037142
Bandeja 1,2015-06-06 04:24:00,23.14278063
Bandeja 1,2015-06-06 04:39:00,23.09641735
Bandeja 1,2015-06-06 04:54:00,22.81763218
Bandeja 1,2015-06-06 05:09:00,22.77106537
Bandeja 1,2015-06-06 05:24:00,22.44425284
Bandeja 1,2015-06-06 05:39:00,22.39744245
Bandeja 1,2015-06-06 05:54:00,23.00360502
Bandeja 1,2015-06-06 06:09:00,22.81763218
Bandeja 1,2015-06-06 06:24:00,22.91067712
Bandeja 1,2015-06-06 06:39:00,22.63118535
Bandeja 1,2015-06-06 06:54:00,22.58449821
Bandeja 1,2015-06-06 07:09:00,22.44425284
Bandeja 1,2015-06-06 07:24:00,22.44425284
Bandeja 1,2015-06-06 07:39:00,22.3037277
Bandeja 1,2015-06-06 07:54:00,22.44425284
Bandeja 1,2015-06-06 08:09:00,22.49103214
Bandeja 1,2015-06-06 08:24:00,22.39744245
Bandeja 1,2015-06-06 08:39:00,22.44425284
Bandeja 1,2015-06-06 08:54:00,22.44425284
Bandeja 1,2015-06-06 09:09:00,22.44425284
Bandeja 1,2015-06-06 09:24:00,22.44425284
Bandeja 1,2015-06-06 09:39:00,22.16291785
Bandeja 1,2015-06-06 09:54:00,21.83322667
Bandeja 1,2015-06-06 10:09:00,21.54933167
Bandeja 1,2015-06-06 10:24:00,21.54933167
Bandeja 1,2015-06-06 10:39:00,21.45442551
Bandeja 1,2015-06-06 10:54:00,21.64409962
Bandeja 1,2015-06-06 11:09:00,21.92758871
Bandeja 1,2015-06-06 11:24:00,22.53778054
Bandeja 1,2015-06-06 11:39:00,22.81763218
Bandeja 1,2015-06-06 11:54:00,23.65094603
Bandeja 1,2015-06-06 12:09:00,23.18911556
Bandeja 1,2015-06-06 12:24:00,23.60488452
Bandeja 1,2015-06-06 12:39:00,26.14883337
Bandeja 1,2015-06-06 12:54:00,27.22158684
Bandeja 1,2015-06-06 13:09:00,27.31063852
Bandeja 1,2015-06-06 13:24:00,32.66627866
Bandeja 1,2015-06-06 13:39:00,35.95142426
Bandeja 1,2015-06-06 13:54:00,36.59381313
Bandeja 1,2015-06-06 14:09:00,36.50173762
Bandeja 1,2015-06-06 14:24:00,35.08700457
Bandeja 1,2015-06-06 14:39:00,32.71073844
Bandeja 1,2015-06-06 14:54:00,37.28785216
Bandeja 1,2015-06-06 15:09:00,40.37915161
Bandeja 1,2015-06-06 15:24:00,38.22355904
Bandeja 1,2015-06-06 15:39:00,36.87068018
Bandeja 1,2015-06-06 15:54:00,38.36501229
Bandeja 1,2015-06-06 16:09:00,30.62957853
Bandeja 1,2015-06-06 16:24:00,30.09973568
Bandeja 1,2015-06-06 16:39:00,30.89459659
Bandeja 1,2015-06-06 16:54:00,33.87099639
Bandeja 1,2015-06-06 17:09:00,34.68019211
Bandeja 1,2015-06-06 17:24:00,35.67757731
Bandeja 1,2015-06-06 17:39:00,36.27200209
Bandeja 1,2015-06-06 17:54:00,42.11235136
Bandeja 1,2015-06-06 18:09:00,37.80095284
Bandeja 1,2015-06-06 18:24:00,39.84518882
Bandeja 1,2015-06-06 18:39:00,42.16268819
Bandeja 1,2015-06-06 18:54:00,40.3304079
Bandeja 1,2015-06-06 19:09:00,39.50786969
Bandeja 1,2015-06-06 19:24:00,44.37465074
Bandeja 1,2015-06-06 19:39:00,44.26960617
Bandeja 1,2015-06-06 19:54:00,45.54511072
Bandeja 1,2015-06-06 20:09:00,43.02585102
Bandeja 1,2015-06-06 20:24:00,38.74370335
Bandeja 1,2015-06-06 20:39:00,42.41509046
Bandeja 1,2015-06-06 20:54:00,34.09522412
Bandeja 1,2015-06-06 21:09:00,32.53296192
Bandeja 1,2015-06-06 21:24:00,31.86763072
Bandeja 1,2015-06-06 21:39:00,30.98296
Bandeja 1,2015-06-06 21:54:00,30.18803467
Bandeja 1,2015-06-06 22:09:00,29.56988753
Bandeja 1,2015-06-06 22:24:00,28.9070891
Bandeja 1,2015-06-06 22:39:00,28.11020122
Bandeja 1,2015-06-06 22:54:00,27.17704322
Bandeja 1,2015-06-06 23:09:00,26.19370128
Bandeja 1,2015-06-06 23:24:00,25.69922805
Bandeja 1,2015-06-06 23:39:00,25.47375737
Bandeja 1,2015-06-06 23:54:00,25.20256252
Bandeja 1,2015-06-07 00:09:00,24.79439933
Bandeja 1,2015-06-07 00:24:00,24.79439933
Bandeja 1,2015-06-07 00:39:00,24.43011131
Bandeja 1,2015-06-07 00:54:00,24.15592467
Bandeja 1,2015-06-07 01:09:00,24.24741558
Bandeja 1,2015-06-07 01:24:00,24.2016822
Bandeja 1,2015-06-07 01:39:00,23.92676845
Bandeja 1,2015-06-07 01:54:00,23.46654011
Bandeja 1,2015-06-07 02:09:00,23.23542233
Bandeja 1,2015-06-07 02:24:00,22.91067712
Bandeja 1,2015-06-07 02:39:00,22.86416937
Bandeja 1,2015-06-07 02:54:00,22.67784214
Bandeja 1,2015-06-07 03:09:00,22.58449821
Bandeja 1,2015-06-07 03:24:00,22.53778054
Bandeja 1,2015-06-07 03:39:00,22.58449821
Bandeja 1,2015-06-07 03:54:00,22.77106537
Bandeja 1,2015-06-07 04:09:00,23.00360502
Bandeja 1,2015-06-07 04:24:00,23.05002554
Bandeja 1,2015-06-07 04:39:00,23.23542233
Bandeja 1,2015-06-07 04:54:00,23.37417548
Bandeja 1,2015-06-07 05:09:00,23.09641735
Bandeja 1,2015-06-07 05:24:00,22.49103214
Bandeja 1,2015-06-07 05:39:00,22.53778054
Bandeja 1,2015-06-07 05:54:00,22.49103214
Bandeja 1,2015-06-07 06:09:00,22.63118535
Bandeja 1,2015-06-07 06:24:00,22.53778054
Bandeja 1,2015-06-07 06:39:00,22.3506008
Bandeja 1,2015-06-07 06:54:00,22.16291785
Bandeja 1,2015-06-07 07:09:00,21.92758871
Bandeja 1,2015-06-07 07:24:00,21.7387308
Bandeja 1,2015-06-07 07:39:00,21.35937966
Bandeja 1,2015-06-07 07:54:00,21.0733894
Bandeja 1,2015-06-07 08:09:00,21.3118039
Bandeja 1,2015-06-07 08:24:00,21.45442551
Bandeja 1,2015-06-07 08:39:00,21.40692014
Bandeja 1,2015-06-07 08:54:00,21.26419267
Bandeja 1,2015-06-07 09:09:00,21.3118039
Bandeja 1,2015-06-07 09:24:00,21.50189596
Bandeja 1,2015-06-07 09:39:00,21.69143221
Bandeja 1,2015-06-07 09:54:00,21.83322667
Bandeja 1,2015-06-07 10:09:00,21.83322667
Bandeja 1,2015-06-07 10:24:00,21.78599556
Bandeja 1,2015-06-07 10:39:00,21.64409962
Bandeja 1,2015-06-07 10:54:00,21.21654578
Bandeja 1,2015-06-07 11:09:00,21.7387308
Bandeja 1,2015-06-07 11:24:00,22.11591712
Bandeja 1,2015-06-07 11:39:00,22.25682296
Bandeja 1,2015-06-07 11:54:00,23.14278063
Bandeja 1,2015-06-07 12:09:00,24.38447268
Bandeja 1,2015-06-07 12:24:00,23.51268174
Bandeja 1,2015-06-07 12:39:00,23.65094603
Bandeja 1,2015-06-07 12:54:00,24.56688854
Bandeja 1,2015-06-07 13:09:00,24.2016822
Bandeja 1,2015-06-07 13:24:00,25.02136584
Bandeja 1,2015-06-07 13:39:00,25.83429157
Bandeja 1,2015-06-07 13:54:00,27.7996366
Bandeja 1,2015-06-07 14:09:00,28.81864497
Bandeja 1,2015-06-07 14:24:00,30.01143655
Bandeja 1,2015-06-07 14:39:00,32.35534553
Bandeja 1,2015-06-07 14:54:00,30.98296
Bandeja 1,2015-06-07 15:09:00,35.95142426
Bandeja 1,2015-06-07 15:24:00,38.31782806
Bandeja 1,2015-06-07 15:39:00,35.2229697
Bandeja 1,2015-06-07 15:54:00,34.63508703
Bandeja 1,2015-06-07 16:09:00,39.17240128
Bandeja 1,2015-06-07 16:24:00,36.31789813
Bandeja 1,2015-06-07 16:39:00,34.68019211
Bandeja 1,2015-06-07 16:54:00,36.31789813
Bandeja 1,2015-06-07 17:09:00,37.00948305
Bandeja 1,2015-06-07 17:24:00,35.95142426
Bandeja 1,2015-06-07 17:39:00,35.7687665
Bandeja 1,2015-06-07 17:54:00,35.08700457
Bandeja 1,2015-06-07 18:09:00,34.49988264
Bandeja 1,2015-06-07 18:24:00,35.49547097
Bandeja 1,2015-06-07 18:39:00,35.45
Bandeja 1,2015-06-07 18:54:00,36.77828294
Bandeja 1,2015-06-07 19:09:00,36.31789813
Bandeja 1,2015-06-07 19:24:00,36.08866777
